Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.170000,10.280000,10.050000,10.280000,7.087058,60855800
2010-01-05,10.450000,11.240000,10.400000,10.960000,7.555854,215620200
2010-01-06,11.210000,11.460000,11.130000,11.370000,7.838508,200070600
2010-01-07,11.460000,11.690000,11.320000,11.660000,8.038436,130201700
2010-01-08,11.670000,11.740000,11.460000,11.690000,8.059114,130463000
2010-01-11,11.900000,12.140000,11.780000,12.110000,8.348665,170626200
2010-01-12,11.980000,12.030000,11.720000,11.870000,8.183208,162995900
2010-01-13,11.910000,11.930000,11.470000,11.680000,8.052222,154527100
2010-01-14,11.650000,11.860000,11.510000,11.760000,8.107375,116531200
2010-01-15,11.740000,11.760000,11.550000,11.600000,7.997071,96149800
2010-01-19,11.510000,11.830000,11.460000,11.750000,8.100483,65934000
2010-01-20,11.680000,11.690000,11.500000,11.510000,7.935025,71649500
2010-01-21,11.530000,11.620000,11.010000,11.180000,7.707521,121451400
2010-01-22,11.010000,11.120000,10.410000,10.520000,7.252516,161530100
2010-01-25,10.730000,11.100000,10.610000,11.030000,7.604111,121621500
2010-01-26,11.170000,11.460000,11.070000,11.190000,7.714416,108250500
2010-01-27,11.570000,11.620000,11.220000,11.550000,7.962602,105091600
2010-01-28,11.900000,11.950000,11.270000,11.410000,7.866082,203320000
2010-01-29,11.600000,11.610000,10.700000,10.840000,7.473125,159741200
2010-02-01,11.140000,11.180000,10.930000,11.120000,7.666157,82748200
2010-02-02,11.260000,11.520000,11.190000,11.390000,7.852297,119714900
2010-02-03,11.490000,11.660000,11.420000,11.640000,8.024649,90125500
2010-02-04,11.490000,11.530000,11.000000,11.060000,7.624794,129792200
2010-02-05,10.970000,11.110000,10.490000,10.910000,7.521382,181535200
2010-02-08,11.090000,11.320000,10.880000,10.970000,7.562747,92031400
2010-02-09,11.180000,11.220000,11.020000,11.150000,7.686840,83207100
2010-02-10,11.120000,11.140000,10.900000,10.940000,7.542066,73395600
2010-02-11,11.000000,11.190000,10.880000,11.180000,7.707521,65116200
2010-02-12,10.920000,11.180000,10.850000,11.120000,7.666157,69465400
2010-02-16,11.210000,11.380000,11.110000,11.320000,7.804037,62537500
2010-02-17,11.430000,11.520000,11.350000,11.490000,7.921237,65983200
2010-02-18,11.410000,11.480000,11.290000,11.380000,7.845402,53406800
2010-02-19,11.350000,11.400000,11.260000,11.290000,7.783356,46990000
2010-02-22,11.360000,11.380000,11.180000,11.210000,7.728203,41993100
2010-02-23,11.180000,11.630000,11.150000,11.600000,7.997071,114688400
2010-02-24,11.720000,11.880000,11.650000,11.730000,8.086694,84200800
2010-02-25,11.530000,11.830000,11.400000,11.780000,8.121161,83114500
2010-02-26,11.830000,11.850000,11.610000,11.740000,8.093587,72368400
2010-03-01,11.810000,12.420000,11.750000,12.410000,8.555487,142605500
2010-03-02,12.620000,12.680000,12.180000,12.220000,8.424500,193706600
2010-03-03,12.460000,12.830000,12.350000,12.690000,8.748519,157004600
2010-03-04,12.780000,12.800000,12.520000,12.790000,8.817458,89836800
2010-03-05,12.920000,13.040000,12.830000,13.000000,8.962234,106920600
2010-03-08,12.940000,12.960000,12.790000,12.930000,8.913976,78903200
2010-03-09,12.830000,13.030000,12.730000,12.800000,8.824357,83934300
2010-03-10,12.880000,12.950000,12.800000,12.820000,8.838142,56850600
2010-03-11,12.790000,12.970000,12.750000,12.910000,8.900190,59274700
2010-03-12,13.020000,13.370000,12.980000,13.340000,9.196631,104771000
2010-03-15,13.460000,13.630000,13.320000,13.400000,9.237995,95072200
2010-03-16,13.490000,13.510000,13.320000,13.490000,9.300041,74692700
2010-03-17,13.550000,14.150000,13.550000,14.100000,9.720577,137318700
2010-03-18,14.230000,14.540000,13.650000,13.730000,9.465499,235094400
2010-03-19,13.290000,13.920000,13.040000,13.290000,9.162159,252411200
2010-03-22,12.980000,14.000000,12.810000,13.990000,9.644741,170576100
2010-03-23,14.170000,14.300000,13.810000,13.900000,9.582697,167002400
2010-03-24,13.770000,14.050000,13.760000,13.900000,9.582697,91765400
2010-03-25,14.050000,14.120000,13.760000,13.800000,9.513758,88909300
2010-03-26,13.890000,13.980000,13.760000,13.860000,9.555120,60400400
2010-03-29,13.700000,13.880000,13.390000,13.570000,9.355192,158225000
2010-03-30,13.550000,13.640000,13.180000,13.280000,9.155265,142055200
2010-03-31,12.820000,12.950000,12.420000,12.570000,8.665790,433659100
2010-04-01,12.840000,12.950000,12.580000,12.630000,8.707157,212952100
2010-04-05,12.890000,12.920000,12.760000,12.770000,8.803671,88957200
2010-04-06,12.780000,12.880000,12.600000,12.700000,8.755414,76423800
2010-04-07,12.690000,12.820000,12.530000,12.580000,8.672684,88112400
2010-04-08,12.550000,12.710000,12.340000,12.630000,8.707157,77491400
2010-04-09,12.730000,12.840000,12.610000,12.720000,8.769201,60408600
2010-04-12,12.720000,12.810000,12.640000,12.770000,8.803671,50783100
2010-04-13,12.750000,12.890000,12.710000,12.790000,8.817458,71008500
2010-04-14,12.920000,13.430000,12.860000,13.350000,9.203526,153602100
2010-04-15,13.420000,13.880000,13.410000,13.760000,9.486181,159110500
2010-04-16,13.840000,13.920000,13.300000,13.420000,9.251785,149640000
2010-04-19,13.380000,13.750000,13.360000,13.600000,9.375875,95855100
2010-04-20,13.720000,13.940000,13.670000,13.910000,9.589590,75630700
2010-04-21,14.020000,14.150000,13.920000,14.130000,9.741257,120284000
2010-04-22,14.000000,14.230000,13.850000,14.200000,9.789518,93331100
2010-04-23,14.220000,14.390000,14.110000,14.210000,9.796412,92002200
